timestamp,latency,location,ward_id,ml_inference_time_ms,latency_ms,total_latency_ms,rolling_avg_latency
2025-10-19 13:26:38.000000,0.16032085673004745,edge,0,118.88038081634825,160.32085673004744,279.2012375463957,
2025-10-19 13:26:38.066225,0.14912040785977732,edge,1,103.53601431515266,149.12040785977732,252.65642217492996,
2025-10-19 13:26:38.132450,0.14903358602428324,edge,2,80.55214290276186,149.03358602428324,229.5857289270451,
2025-10-19 13:26:38.198675,0.1781701261580582,edge,0,89.2184444789018,178.1701261580582,267.38857063695997,
2025-10-19 13:26:38.264901,0.1751500291233275,edge,1,76.72322318503262,175.1500291233275,251.8732523083601,
2025-10-19 13:26:38.331126,0.1766511205265843,edge,2,58.741218134492016,176.6511205265843,235.3923386610763,
2025-10-19 13:26:38.397351,0.15516987691414588,edge,0,58.440130179150245,155.16987691414587,213.61000709329613,
2025-10-19 13:26:38.463576,0.15078844473785616,edge,1,86.1815392191127,150.78844473785617,236.96998395696883,
2025-10-19 13:26:38.529801,0.17065503125941783,edge,2,75.36185252809224,170.65503125941783,246.01688378751007,
2025-10-19 13:26:38.596026,0.15853416694099642,edge,0,77.56967199619766,158.5341669409964,236.10383893719407,
2025-10-19 13:26:38.662252,0.16646174307305342,edge,1,103.0596459368831,166.4617430730534,269.5213890099365,
2025-10-19 13:26:38.728477,0.17190723509105815,edge,2,59.581326195490576,171.90723509105814,231.4885612865487,
2025-10-19 13:26:38.794702,0.16271075325523932,edge,0,75.81591524520813,162.71075325523933,238.52666850044747,
2025-10-19 13:26:38.860927,0.1541792023980661,edge,1,80.64770705617552,154.17920239806608,234.82690945424162,
2025-10-19 13:26:38.927152,0.1594904454117738,edge,2,83.05059534181173,159.49044541177378,242.54104075358552,
2025-10-19 13:26:38.993377,0.15749422542597924,edge,0,75.27272591682369,157.49422542597924,232.7669513428029,
2025-10-19 13:26:39.059603,0.1506382737333561,edge,1,109.05138940269782,150.6382737333561,259.6896631360539,
2025-10-19 13:26:39.125828,0.17434880503688488,edge,2,71.58030819077288,174.34880503688487,245.92911322765775,
2025-10-19 13:26:39.192053,0.16045843113628383,edge,0,78.03035113622919,160.45843113628382,238.48878227251302,
2025-10-19 13:26:39.258278,0.15920510563817966,edge,1,63.01502510520232,159.20510563817967,222.220130743382,
2025-10-19 13:26:39.324503,0.152207826271937,edge,2,105.38944081482522,152.207826271937,257.5972670867622,
2025-10-19 13:26:39.390728,0.15606545284145867,edge,0,78.90825506513674,156.06545284145867,234.97370790659542,
2025-10-19 13:26:39.456954,0.16474492571250848,edge,1,92.85378051180065,164.7449257125085,257.5987062243091,
2025-10-19 13:26:39.523179,0.16444558936509934,edge,2,81.8018214506817,164.44558936509935,246.24741081578105,
2025-10-19 13:26:39.589404,0.1550690799033892,edge,0,88.53746390143621,155.0690799033892,243.6065438048254,
2025-10-19 13:26:39.655629,0.15102180187791078,edge,1,78.0263476159207,151.02180187791078,229.0481494938315,
2025-10-19 13:26:39.721854,0.15548208363923333,edge,2,149.58517219967993,155.48208363923334,305.06725583891324,
2025-10-19 13:26:39.788079,0.17867944863941387,edge,0,77.29293135028607,178.67944863941386,255.97237998969996,
2025-10-19 13:26:39.854305,0.17144185829656278,edge,1,80.45258097566172,171.44185829656277,251.8944392722245,
2025-10-19 13:26:39.920530,0.15892700905855886,edge,2,77.81528551266,158.92700905855887,236.74229457121888,
2025-10-19 13:26:39.986755,0.15117499392410494,edge,0,77.76250447885292,151.17499392410494,228.93749840295786,
2025-10-19 13:26:40.052980,0.14988091756935973,edge,1,79.43421946268718,149.88091756935972,229.31513703204692,
2025-10-19 13:26:40.119205,0.1719900862845247,edge,2,81.39200199202435,171.9900862845247,253.38208827654907,
2025-10-19 13:26:40.185430,0.16972218644201817,edge,0,80.40030826968689,169.72218644201817,250.12249471170506,
2025-10-19 13:26:40.251656,0.168582466413099,edge,1,91.8294875754277,168.582466413099,260.41195398852676,
2025-10-19 13:26:40.317881,0.16838798695153342,edge,2,44.5528592283208,168.38798695153343,212.94084617985422,
2025-10-19 13:26:40.384106,0.1607928794601641,edge,0,67.12655036044409,160.7928794601641,227.9194298206082,
2025-10-19 13:26:40.450331,0.14933871335716098,edge,1,87.83990842998814,149.33871335716097,237.1786217871491,
2025-10-19 13:26:40.516556,0.14782347183930053,edge,2,62.79210822323428,147.82347183930054,210.6155800625348,
2025-10-19 13:26:40.582781,0.15567333310048997,edge,0,144.56480195899965,155.67333310048997,300.2381350594896,
2025-10-19 13:26:40.649007,0.1722365001587124,edge,1,64.96152955606183,172.2365001587124,237.1980297147742,
2025-10-19 13:26:40.715232,0.167413319306536,edge,2,64.44553928545437,167.41331930653598,231.85885859199038,
2025-10-19 13:26:40.781457,0.15641721272923578,edge,0,81.64217074751284,156.41721272923579,238.0593834767486,
2025-10-19 13:26:40.847682,0.15696998937112122,edge,1,86.00496944576592,156.96998937112122,242.97495881688712,
2025-10-19 13:26:40.913907,0.17129361281818445,edge,2,88.07814758776061,171.29361281818444,259.37176040594505,
2025-10-19 13:26:40.980132,0.17489998651610195,edge,0,84.67831065584865,174.89998651610193,259.57829717195057,
2025-10-19 13:26:41.046358,0.1686694976328176,edge,1,68.22498827461798,168.6694976328176,236.89448590743558,
2025-10-19 13:26:41.112583,0.15325453948496173,edge,2,82.03975859876357,153.25453948496173,235.29429808372532,
2025-10-19 13:26:41.178808,0.15080640914227444,edge,0,84.62771726959235,150.80640914227445,235.43412641186677,
