timestamp,ward_id,action,cpu_util,queue_length
2025-10-05 22:29:55.000000,0,edge,0.6332032481752881,57.0
2025-10-05 22:29:55.477707,1,edge,0.6332032481752881,57.0
2025-10-05 22:29:55.955414,2,edge,0.6332032481752881,57.0
2025-10-05 22:29:56.433121,0,edge,0.6332032481752881,57.0
2025-10-05 22:29:56.910828,1,edge,0.6332032481752881,57.0
2025-10-05 22:29:57.388535,2,edge,0.6332032481752881,57.0
2025-10-05 22:29:57.866242,0,edge,0.6332032481752881,57.0
2025-10-05 22:29:58.343949,1,edge,0.6332032481752881,57.0
2025-10-05 22:29:58.821656,2,edge,0.6332032481752881,57.0
2025-10-05 22:29:59.299363,0,edge,0.6332032481752881,57.0
2025-10-05 22:29:59.777070,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:00.254777,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:00.732484,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:01.210191,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:01.687898,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:02.165605,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:02.643312,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:03.121019,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:03.598726,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:04.076433,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:04.554140,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:05.031847,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:05.509554,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:05.987261,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:06.464968,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:06.942675,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:07.420382,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:07.898089,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:08.375796,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:08.853503,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:09.331210,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:09.808917,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:10.286624,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:10.764331,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:11.242038,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:11.719745,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:12.197452,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:12.675159,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:13.152866,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:13.630573,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:14.108280,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:14.585987,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:15.063694,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:15.541401,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:16.019108,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:16.496815,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:16.974522,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:17.452229,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:17.929936,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:18.407643,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:18.885350,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:19.363057,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:19.840764,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:20.318471,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:20.796178,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:21.273885,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:21.751592,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:22.229299,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:22.707006,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:23.184713,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:23.662420,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:24.140127,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:24.617834,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:25.095541,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:25.573248,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:26.050955,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:26.528662,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:27.006369,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:27.484076,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:27.961783,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:28.439490,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:28.917197,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:29.394904,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:29.872611,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:30.350318,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:30.828025,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:31.305732,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:31.783439,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:32.261146,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:32.738854,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:33.216561,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:33.694268,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:34.171975,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:34.649682,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:35.127389,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:35.605096,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:36.082803,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:36.560510,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:37.038217,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:37.515924,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:37.993631,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:38.471338,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:38.949045,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:39.426752,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:39.904459,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:40.382166,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:40.859873,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:41.337580,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:41.815287,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:42.292994,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:42.770701,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:43.248408,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:43.726115,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:44.203822,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:44.681529,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:45.159236,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:45.636943,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:46.114650,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:46.592357,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:47.070064,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:47.547771,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:48.025478,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:48.503185,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:48.980892,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:49.458599,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:49.936306,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:50.414013,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:50.891720,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:51.369427,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:51.847134,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:52.324841,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:52.802548,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:53.280255,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:53.757962,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:54.235669,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:54.713376,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:55.191083,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:55.668790,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:56.146497,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:56.624204,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:57.101911,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:57.579618,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:58.057325,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:58.535032,1,edge,0.6332032481752881,57.0
2025-10-05 22:30:59.012739,2,edge,0.6332032481752881,57.0
2025-10-05 22:30:59.490446,0,edge,0.6332032481752881,57.0
2025-10-05 22:30:59.968153,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:00.445860,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:00.923567,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:01.401274,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:01.878981,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:02.356688,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:02.834395,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:03.312102,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:03.789809,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:04.267516,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:04.745223,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:05.222930,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:05.700637,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:06.178344,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:06.656051,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:07.133758,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:07.611465,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:08.089172,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:08.566879,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:09.044586,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:09.522293,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:10.000000,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:10.477707,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:10.955414,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:11.433121,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:11.910828,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:12.388535,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:12.866242,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:13.343949,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:13.821656,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:14.299363,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:14.777070,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:15.254777,0,edge,0.6332032481752881,57.0
2025-10-05 22:31:15.732484,1,edge,0.6332032481752881,57.0
2025-10-05 22:31:16.210191,2,edge,0.6332032481752881,57.0
2025-10-05 22:31:16.687898,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:17.165605,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:17.643312,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:18.121019,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:18.598726,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:19.076433,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:19.554140,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:20.031847,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:20.509554,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:20.987261,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:21.464968,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:21.942675,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:22.420382,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:22.898089,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:23.375796,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:23.853503,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:24.331210,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:24.808917,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:25.286624,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:25.764331,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:26.242038,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:26.719745,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:27.197452,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:27.675159,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:28.152866,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:28.630573,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:29.108280,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:29.585987,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:30.063694,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:30.541401,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:31.019108,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:31.496815,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:31.974522,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:32.452229,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:32.929936,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:33.407643,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:33.885350,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:34.363057,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:34.840764,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:35.318471,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:35.796178,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:36.273885,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:36.751592,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:37.229299,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:37.707006,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:38.184713,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:38.662420,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:39.140127,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:39.617834,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:40.095541,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:40.573248,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:41.050955,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:41.528662,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:42.006369,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:42.484076,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:42.961783,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:43.439490,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:43.917197,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:44.394904,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:44.872611,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:45.350318,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:45.828025,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:46.305732,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:46.783439,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:47.261146,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:47.738854,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:48.216561,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:48.694268,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:49.171975,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:49.649682,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:50.127389,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:50.605096,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:51.082803,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:51.560510,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:52.038217,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:52.515924,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:52.993631,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:53.471338,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:53.949045,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:54.426752,1,cloud,0.6332032481752881,57.0
2025-10-05 22:31:54.904459,2,cloud,0.6332032481752881,57.0
2025-10-05 22:31:55.382166,0,cloud,0.6332032481752881,57.0
2025-10-05 22:31:55.859873,1,cloud,0.6332032481752881,57.0
